P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
0,4;4,1;0,42;0;16;11;0,0;22,7;11,7
0,3;3,2;0,74;0;18;9;0,0;24,9;9,6
0,4;3,3;0,31;0;24;4;0,0;32,2;4,3
0,4;3,5;0,46;2,2;17;11;2,4;23,6;11,7
0,3;3,4;0,4;6,4;25;9;8,0;32,6;9,6
0,5;3,4;0,37;6,7;11;8;7,4;17,4;8,5
0,7;3,4;0,81;37,7;25;18;45,4;32,7;19,1
6,8;3,5;0,44;37,3;17;20;45,0;23,7;21,3
14,4;4,3;0,46;22,8;18;16;30,1;25,2;17,0
9,2;7,5;0,42;56;22;17;64,2;29,2;18,1
11,9;21,7;0,7;37,2;40;16;45,0;48,1;17,0
9,8;22;0,81;36,3;44;15;43,9;51,7;16,0
12,5;25,5;1,4;56;42;14;64,3;50,0;14,9
11,8;20,7;1,86;36,2;37;14;43,9;44,6;14,9
13,2;21,2;2,41;35,1;41;13;42,6;49,1;13,8
7,4;18,9;2,16;36,2;40;16;43,9;48,0;17,0
9,7;15,7;1,14;36,1;31;12;43,8;38,6;12,8
13,7;17;1,27;36,2;33;13;43,8;39,8;13,8
14,1;10,2;1,19;36,2;32;12;43,9;34,4;12,8
14;7,2;0,91;20,8;18;10;27,9;19,2;10,6
14,1;6,3;0,88;36,3;16;7;44,0;16,4;7,4
14,5;8,7;0,46;36,3;25;0;44,0;26,2;0,0
14,8;7,9;1,32;36,3;27;6;43,9;28,5;6,4
14,9;7,5;0,74;21,8;21;10;29,0;22,2;10,6
4,1;5,8;0,43;21,8;20;9;29,0;21,3;9,6
0,8;3,2;0,39;18,9;20;7;23,5;22,6;7,4
0,5;3,2;0,41;0;22;8;0,0;28,8;8,5
0,7;3,1;0,36;5,2;16;8;5,8;23,0;8,5
0,9;3,1;0,41;36,2;18;9;43,9;25,1;9,6
0,9;3,2;0,38;36,1;24;11;43,7;32,1;11,7
1,1;3,3;0,39;36,1;17;9;43,8;23,5;9,6
6,8;3,2;0,45;36,1;21;20;43,8;27,9;21,3
14,8;4,4;0,45;36,3;23;20;43,9;30,9;21,3
4,5;7,7;0,46;34,4;23;17;42,0;30,1;18,1
9,9;23,6;1,09;36,1;48;18;43,7;56,6;19,1
7,8;22,6;2,01;36,2;39;16;43,9;46,6;17,0
8,4;20,1;1,84;37,2;38;14;44,9;45,4;14,9
13,6;17,5;1,94;36,1;41;16;43,8;49,0;17,0
13,9;18,3;1,82;36,2;34;14;43,9;41,3;14,9
13,8;16,3;2,4;36,1;33;14;43,7;37,1;14,9
13,4;15,4;2,08;36,1;38;12;43,8;40,8;12,8
13;14,9;1,78;37,1;30;13;44,9;31,4;13,8
13,2;9,8;1,78;36,1;28;12;43,8;29,6;12,8
11,1;7,1;2,31;35,1;13;9;42,7;13,4;9,6
12,2;6,2;2,71;22;7;9;29,2;7,6;9,6
11,9;7,8;1,44;36,1;17;0;43,8;18,1;0,0
