P_el_Halle;P_el_Schule;W_Halle;W_Schule
14,2;3,2;21,6;16
14,2;3,4;22,4;17
8,5;3,4;65,8;18
1,3;3,7;33,8;22
1,4;5,2;21,4;18
1,5;5,2;21,4;19
1,4;5,1;22,4;19
1,5;5,0;21,4;21
1,4;5,0;21,4;23
0,9;3,5;32,8;16
0,9;3,4;21,4;16
0,9;3,4;21,7;17
0,9;3,4;21,6;19
0,9;3,4;21,6;21
1,0;3,3;22,5;16
1,1;3,5;22,3;16
1,1;4,2;21,3;18
1,1;5,5;22,3;19
1,1;4,9;90,7;20
1,0;3,5;67,9;21
1,0;3,3;78,3;16
1,0;3,3;45,1;16
0,9;3,4;45,2;19
0,9;3,4;45,2;18
0,9;3,4;44,3;21
1,0;3,3;45,3;16
0,9;3,4;33,9;16
1,0;3,9;44,4;18
1,0;5,0;45,3;21
1,1;5,1;45,3;24
1,1;5,0;45,2;18
1,1;5,1;44,4;19
1,0;5,1;21,6;19
0,8;3,4;21,7;18
0,8;3,5;21,7;21
0,9;3,5;21,7;16
0,8;3,4;20,8;18
1,0;3,4;23,8;18
1,2;3,4;55,7;21
13,8;3,4;79,4;16
13,7;4,4;56,6;21
5,2;12,8;124,9;27
15,3;31,7;44,2;54
10,8;29,4;56,7;47
13,1;29,8;68,1;51
8,8;25,6;56,7;47
1,0;29,7;55,8;47
1,0;22,2;56,8;42
8,0;18,4;68,3;39
13,3;19,5;44,5;35
14,3;11,3;56,9;29
14,7;7,6;33,0;26
14,5;9,2;67,4;23
15,1;9,7;33,2;27
15,2;8,9;33,2;27
14,8;6,9;55,8;20
9,1;6,0;55,9;21
1,8;3,3;67,3;18
0,9;3,3;19,6;21
0,9;3,3;9,8;16
0,9;3,2;23,9;16
1,1;3,3;17,8;17
1,1;3,4;22,3;18
14,3;3,5;45,2;21
11,6;4,5;44,2;11
3,8;10,6;113,7;29
11,2;30,2;45,3;47
7,7;27,8;55,7;45
13,9;27,0;56,7;45
14,3;22,7;45,3;41
14,2;23,7;45,3;45
13,1;18,4;32,9;33
12,6;17,1;33,9;32
14,3;19,0;34,0;35
9,4;10,3;33,9;26
14,5;10,3;21,6;29
10,6;10,4;34,0;24
1,2;9,5;45,3;23
1,1;8,8;55,6;23
1,2;9,3;45,3;25
2,0;7,5;21,4;26
1,9;3,3;67,1;16
0,9;3,2;21,6;16
0,9;3,2;20,7;17
1,0;3,1;22,1;16
2,4;3,2;9,5;19
4,1;3,3;71,2;5
8,9;3,3;71,9;5
11,7;4,4;38,2;18
4,1;11,5;113,3;31
9,8;25,2;43,5;42
10,4;23,7;44,0;40
11,1;30,8;32,0;47
10,6;26,4;13,3;44
13,4;24,3;13,5;41
9,1;17,4;13,4;32
9,3;16,6;13,4;32
13,8;16,4;13,4;31
1,1;11,6;13,4;28
5,8;9,0;21,4;22
14,5;8,9;29,6;22
14,6;8,2;28,1;21
14,8;9,0;29,4;28
14,8;8,0;29,3;21
12,6;6,7;29,3;21
1,9;3,2;29,4;15
0,9;3,0;29,3;17
0,9;3,2;31,4;16
0,8;3,1;23,5;18
1,0;3,3;28,1;22
8,1;3,2;25,9;16
15,1;3,2;29,9;16
11,7;4,2;25,8;18
3,9;12,2;14,0;29
1,2;33,3;13,4;57
1,2;29,5;13,4;47
13,3;29,2;13,4;47
13,7;25,3;13,4;43
14,6;31,8;13,3;52
10,7;23,4;13,3;45
12,7;16,9;15,2;31
14,1;18,3;20,8;34
6,1;10,5;32,2;28
14,1;8,9;20,8;28
14,3;7,8;77,8;21
14,4;9,6;32,2;23
14,2;8,6;20,9;23
14,7;8,6;9,4;24
2,7;7,4;43,7;26
1,7;3,2;54,9;16
1,0;3,1;9,4;17
0,9;3,3;1,1;18
0,9;3,0;4,8;21
0,9;3,3;14,0;16
1,7;3,2;9,7;17
15,4;3,3;43,5;18
11,6;4,5;20,9;17
6,9;11,7;100,5;20
14,0;29,9;43,7;48
14,4;26,3;43,6;45
14,4;27,7;43,8;50
14,5;24,3;21,0;40
14,5;29,8;32,4;47
8,2;22,4;9,7;39
11,0;15,3;9,8;32
12,5;15,1;9,7;35
6,6;9,6;68,0;23
7,8;6,3;21,2;20
1,1;8,5;32,5;23
12,3;9,5;24,5;25
14,5;8,7;43,8;27
10,4;6,8;9,7;19
2,0;5,6;9,8;19
1,7;3,3;24,3;17
0,8;3,2;24,5;18
0,9;3,4;9,8;21
0,8;3,2;24,5;16
0,8;3,4;15,1;17
1,1;3,3;13,8;18
0,9;3,3;24,6;21
1,1;4,0;24,7;17
1,1;5,5;24,7;20
1,0;5,9;20,9;22
0,9;4,0;20,9;22
0,9;3,5;9,6;16
0,9;3,5;9,6;18
0,8;3,5;9,7;19
0,9;3,5;24,5;21
0,8;3,6;24,3;16
0,9;3,4;24,5;18
0,8;3,5;24,3;19
0,9;3,9;24,5;22
1,0;5,1;24,2;19
1,1;5,3;20,5;22
1,0;5,0;9,7;24
1,1;5,0;9,6;18
1,0;5,0;24,1;20
0,6;3,3;16,6;24
0,5;3,3;0,0;13
0,5;3,3;0,0;16
0,5;3,3;0,0;17
0,5;3,3;0,0;19
0,7;3,1;0,0;21
0,7;3,3;0,0;16
0,7;4,1;0,0;17
0,7;5,2;0,0;18
0,6;4,7;0,0;19
0,5;3,0;0,0;18
0,5;4,0;0,0;22
0,4;2,6;0,0;12
6,5;2,4;0,0;5
14,0;2,3;45,5;3
13,5;2,6;24,7;3
14,6;2,7;3,8;4
15,7;2,5;0,6;3
15,2;3,2;2,6;7
15,5;4,2;0,6;20
14,8;4,7;19,5;23
15,1;5,1;24,2;18
5,4;5,0;2,4;19
0,9;5,0;1,8;19
1,1;3,5;6,1;19
1,1;3,4;24,8;22
1,0;3,3;24,7;16
1,1;3,4;24,8;16
1,0;3,3;24,6;17
8,2;3,4;24,9;24
16,1;3,4;20,6;16
16,4;4,5;20,6;18
8,6;12,7;77,6;28
12,1;32,5;54,8;53
11,5;27,7;32,1;50
12,7;27,9;20,7;45
9,4;24,0;24,8;41
13,3;32,4;54,9;51
13,3;24,4;20,7;43
11,5;19,7;24,7;41
13,8;22,1;32,1;38
14,3;13,4;9,4;28
14,7;10,5;24,7;25
14,8;10,2;32,1;26
14,6;9,6;9,4;28
14,0;8,5;24,8;22
14,4;6,8;9,4;20
8,8;5,5;20,7;20
1,7;3,2;24,5;18
0,9;3,0;24,8;21
0,9;3,1;24,6;16
0,9;3,0;5,0;16
0,9;3,1;17,0;16
5,5;3,2;24,7;15
15,5;3,2;24,9;18
4,9;4,2;24,8;22
4,1;11,5;43,3;25
11,5;30,6;32,0;48
8,9;27,2;20,7;45
12,6;21,3;66,1;39
14,5;18,5;20,8;39
13,9;22,0;24,7;38
14,3;19,3;24,7;35
14,7;16,9;24,7;33
14,3;19,5;24,8;37
13,0;9,9;24,7;29
14,3;9,1;9,3;22
14,5;9,9;24,8;24
14,0;8,8;20,8;23
6,1;7,8;32,1;23
1,1;7,3;24,5;26
1,6;6,3;24,8;21
1,6;3,1;9,2;17
0,9;2,9;24,7;18
0,9;2,9;24,7;21
0,8;2,9;5,5;15
0,9;3,0;15,5;15
7,4;3,2;23,3;16
15,3;3,2;24,9;17
15,7;4,2;25,0;17
8,0;11,6;54,6;25
8,8;31,6;9,1;49
10,5;25,7;20,5;45
12,3;28,7;20,6;52
14,0;24,5;32,0;41
13,6;28,3;9,2;45
13,7;22,4;9,3;38
12,5;19,7;24,9;36
12,2;19,2;9,3;34
3,5;12,2;9,3;27
7,0;9,0;9,3;25
14,4;9,7;9,3;23
13,7;8,8;54,9;27
13,1;9,7;9,4;23
12,6;8,8;9,3;22
10,6;7,0;24,6;20
1,7;3,1;24,7;17
0,9;3,1;24,3;15
0,8;3,1;24,7;15
0,9;3,0;4,7;18
0,9;3,1;12,7;21
6,4;3,2;24,8;16
14,5;3,0;24,7;16
17,1;4,1;25,4;18
6,6;10,2;66,4;26
13,2;29,5;65,6;52
14,3;27,9;32,0;45
14,6;26,4;20,8;43
9,2;23,3;24,8;40
7,3;25,8;24,8;45
6,8;17,9;9,2;39
3,3;13,3;24,9;27
2,0;10,8;24,9;25
2,1;10,6;9,2;25
7,6;10,9;19,2;27
14,4;13,1;78,2;33
14,2;13,6;21,2;28
14,7;10,2;21,3;24
14,5;8,8;37,9;23
5,9;7,5;44,0;23
1,8;3,2;44,1;21
0,8;3,1;35,9;16
0,9;3,1;13,5;16
0,8;3,0;8,8;17
0,8;3,3;24,9;19
3,3;3,4;37,8;22
14,0;3,2;37,3;16
5,9;4,4;37,0;18
4,3;10,3;33,9;25
13,9;30,4;46,1;51
15,4;26,4;45,4;49
13,9;28,0;38,7;45
10,5;22,9;11,1;39
9,3;27,2;13,5;45
13,0;20,0;13,7;38
14,2;13,8;13,7;34
6,5;14,1;13,5;28
9,0;10,4;13,7;24
8,9;7,7;20,6;22
2,8;8,2;25,7;24
2,2;8,0;26,5;27
14,8;7,8;25,8;21
14,4;6,3;25,5;21
2,8;5,2;25,5;20
1,5;3,4;20,8;16
0,5;3,2;1,8;19
0,7;3,1;8,6;16
0,9;3,2;25,5;21
0,9;3,2;24,5;16
1,0;3,2;30,3;15
1,1;3,2;25,3;16
1,0;4,0;26,8;17
1,0;5,5;25,7;20
1,0;5,7;26,8;22
0,9;3,8;26,7;17
0,9;3,1;26,7;16
0,8;3,0;26,8;21
0,6;2,4;25,5;15
0,6;2,5;26,5;15
